Temperature,term,estimate,std.error,statistic,p.value
13,ks,0,1.9535385021673926,0,1
13,umax,0.46163229268645367,0.034483550397926735,13.38702910110464,1.0755740185693062e-5
16,ks,0,2.0636477861594953,0,1
16,umax,0.5537031115665708,0.043692449486458944,12.672741356333733,1.4799460264392402e-5
19,ks,6.923901605619585,3.6321043401720257,1.9063058098412589,0.10524561845611843
19,umax,0.894910059769148,0.06659560695565368,13.437974375172715,1.0520162624699652e-5
22,ks,26.10045030762604,10.435240458550403,2.5011834093616803,0.0464538025170038
22,umax,0.8777601871124057,0.0855754357673401,10.257151240209089,5.0103813602007785e-5
25,ks,46.381736633711256,21.25605343836656,2.182048364161221,0.07185810599158118
25,umax,1.040297543619053,0.13629771979542357,7.632538131822677,2.6387423239941806e-4
28,ks,19.747366909258645,19.2637136251082,1.025106959829389,0.34485314478768936
28,umax,0.8494623273046717,0.18497398895578712,4.59233393895026,0.0037218903818849393
