sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,-,,,,,,,
1-03-1,2017-05-09,2017-06-30,0.02,0.016,1,03,1,
2-03-1,2017-05-09,2017-06-30,0.034,0.032,2,03,1,
1-10-1,2017-05-09,2017-06-30,0.004,0.001,1,10,1,
2-10-1,2017-05-09,2017-06-30,0,0.005,2,10,1,
1-17-1,2017-05-09,2017-06-30,0.013,0.006,1,17,1,
2-17-1,2017-05-09,2017-06-30,0.001,0,2,17,1,
1-24-1,2017-05-09,2017-06-30,0.001,0.001,1,24,1,
2-24-1,2017-05-09,2017-06-30,0.002,0.001,2,24,1,
1-31-1,2017-05-09,2017-06-30,0.031,0.034,1,31,1,
2-31-1,2017-05-09,2017-06-30,0.014,0.018,2,31,1,
1-38-1,2017-05-09,2017-06-30,0.051,0.044,1,38,1,
2-38-1,2017-05-09,2017-06-30,0.034,0.03,2,38,1,
1-03-2,2017-05-09,2017-06-30,0.029,0.029,1,03,2,
2-03-2,2017-05-09,2017-06-30,0.048,0.047,2,03,2,
1-10-2,2017-05-09,2017-06-30,0.011,0.013,1,10,2,
2-10-2,2017-05-09,2017-06-30,0.024,0.026,2,10,2,
1-17-2,2017-05-09,2017-06-30,0.025,0.032,1,17,2,
2-17-2,2017-05-09,2017-06-30,0.02,0.017,2,17,2,0.5 ml
1-24-2,2017-05-09,2017-06-30,0.022,0.02,1,24,2,
2-24-2,2017-05-09,2017-06-30,0.032,0.03,2,24,2,
1-31-2,2017-05-09,2017-06-30,0.047,0.042,1,31,2,
2-31-2,2017-05-09,2017-06-30,0.041,0.037,2,31,2,
1-38-2,2017-05-09,2017-06-30,0.037,0.041,1,38,2,
2-38-2,2017-05-09,2017-06-30,0.041,0.039,2,38,2,
1-03-3,2017-05-09,2017-06-30,0.048,0.047,1,03,3,
2-03-3,2017-05-09,2017-06-30,0.051,0.05,2,03,3,
1-10-3,2017-05-09,2017-06-30,0.013,0.018,1,10,3,
2-10-3,2017-05-09,2017-06-30,0.018,0.018,2,10,3,
1-17-3,2017-05-09,2017-06-30,0.015,0.014,1,17,3,
2-17-3,2017-05-09,2017-06-30,0.01,0.013,2,17,3,
1-24-3,2017-05-09,2017-06-30,0.034,0.031,1,24,3,
2-24-3,2017-05-09,2017-06-30,0.039,0.04,2,24,3,
1-31-3,2017-05-09,2017-06-30,0.045,0.049,1,31,3,
2-31-3,2017-05-09,2017-06-30,0.036,0.035,2,31,3,
1-38-3,2017-05-09,2017-06-30,0.05,0.053,1,38,3,
2-38-3,2017-05-09,2017-06-30,0.031,0.03,2,38,3,
1-03-4,2017-05-09,2017-06-30,0.025,0.025,1,03,4,
2-03-4,2017-05-09,2017-06-30,0.036,0.037,2,03,4,
1-10-4,2017-05-09,2017-06-30,0.017,0.019,1,10,4,
2-10-4,2017-05-09,2017-06-30,0.023,0.023,2,10,4,
1-17-4,2017-05-09,2017-06-30,0,0,1,17,4,
2-17-4,2017-05-09,2017-06-30,0.018,0.021,2,17,4,
1-24-4,2017-05-09,2017-06-30,0.028,0.029,1,24,4,
2-24-4,2017-05-09,2017-06-30,0.017,0.017,2,24,4,
1-31-4,2017-05-09,2017-06-30,0.025,0.026,1,31,4,
2-31-4,2017-05-09,2017-06-30,0.024,0.023,2,31,4,
1-38-4,2017-05-09,2017-06-30,0.028,0.028,1,38,4,
2-38-4,2017-05-09,2017-06-30,0.03,0.029,2,38,4,
1-03-5,2017-05-09,2017-06-30,0.015,0.018,1,03,5,
2-03-5,2017-05-09,2017-06-30,0.047,0.044,2,03,5,
1-10-5,2017-05-09,2017-06-30,0.036,0.033,1,10,5,
2-10-5,2017-05-09,2017-06-30,0.013,0.014,2,10,5,
1-17-5,2017-05-09,2017-06-30,0.008,0.012,1,17,5,
2-17-5,2017-05-09,2017-06-30,0.02,0.018,2,17,5,
1-24-5,2017-05-09,2017-06-30,0.018,0.019,1,24,5,
2-24-5,2017-05-09,2017-06-30,0.017,0.016,2,24,5,
1-31-5,2017-05-09,2017-06-30,0.042,0.04,1,31,5,
2-31-5,2017-05-09,2017-06-30,0.038,0.034,2,31,5,
1-38-5,2017-05-09,2017-06-30,0.029,0.028,1,38,5,
2-38-5,2017-05-09,2017-06-30,0.015,0.016,2,38,5,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
