sample,date sampled,time acid in,time cadmium in,time mix done,aborbance time,absorbance 1,absorbance 2,nitrate,rep
st.0.A,,11:33,11:38,11:40,11:50,0.002777778,0.004861111,0,1
st.1.A,,,,,,0.019,0.028,1,1
st.2.A,,,,,,0.001,0.017,2,1
st.3.A,,,,,,0.046,0.058,3,1
st.4.A,,,,,,0.063,0.08,4,1
st.5.A,,,,,,0.064,0.094,5,1
st.7.A,,,,,,0.112,0.12,7,1
st.10.A,,,,,,0.141,0.155,10,1
st.20.A,,,,,,0.29,0.302,20,1
st.0.B,,12:04,12:10,12:11,12:21,0,0.001,0,2
st.1.B,,,,,,0.015,0.007,1,2
st.2.B,,,,,,0.024,0.025,2,2
st.3.B,,,,,,0.032,0.034,3,2
st.4.B,,,,,,0.047,0.048,4,2
st.5.B,,,,,,0.04,0.039,5,2
st.7.B,,,,,,0.052,0.054,7,2
st.10.B,,,,,,0.084,0.08,10,2
st.20.B,,,,,,0.232,0.234,20,2
st.0.C,,12:41,12:47,12:48,12:58,-0.01,-0.01,0,3
st.1.C,,,,,,-0.004,-0.004,1,3
st.2.C,,,,,,0.013,0.013,2,3
st.3.C,,,,,,0.013,0.013,3,3
st.4.C,,,,,1:03,0.055,0.056,4,3
st.5.C,,,,,,0.066,0.063,5,3
st.7.C,,,,,1:04,0.087,0.088,7,3
st.10.C,,,,,1:05,0.147,0.146,10,3
st.20.C,,,,,1:07,0.296,0.292,20,3
